id,name,team,pos,matchup,age,ssn-gms,pass-2pt,pass-att,pass-cmp,pass-1d,pass-int,pass-sck,pass-td,pass-yds,pass-y/att,rush-2pt,rush-2pt,rush-car,rush-1d,rush-td,rush-yds,rec-1d,rec-rec,rec-td,rec-yds,kr-td,kr-yds,pr-td,pr-yds,kck-xpa,kck-xpc,kck-xpm,kck-fga,kck-fgc,kck-fgm,tmd-2pr,tmd-blk,tmd-fmf,tmd-fmr,tmd-int,tmd-pa,tmd-sck,tmd-saf,tmd-td,tmd-ya,ppg
AndrMa00,Mark Andrews,BAL,te,@ 10:10 PM EDT,28,14.7,,,,,,,,,,,,0.7,0.1,,3.3,40.9,67.8,6.2,805.0,,,,,,,,,,,,,,,,,,,,,12.64
WillMi06,Mike Williams,LAC,wr,@ 10:10 PM EDT,29,14.7,,,,,,,,,,,,,,,,42.2,65.9,5.1,881.7,,,,,,,,,,,,,,,,,,,,,12.58
EvanMi00,Mike Evans,TB,wr,@ 10:10 PM EDT,30,14.7,,,,,,,,,,,,,,,,42.2,63.8,5.0,902.7,,,,,,,,,,,,,,,,,,,,,12.55
PierDa01,Dameon Pierce,HOU,rb,@ 10:10 PM EDT,23,14.3,,,,,,,,,,,,201.0,38.3,4.9,833.7,16.6,37.8,1.7,247.7,,,,,,,,,,,,,,,,,,,,,12.85
SamuDe00,Deebo Samuel,SF,wr,@ 10:10 PM EDT,27,14.7,,,,,,,,,,,,33.3,6.4,1.4,123.7,36.5,56.5,5.1,763.7,,,,,,,,,,,,,,,,,,,,,12.53
TannRy00,Ryan Tannehill,TEN,qb,@ 10:10 PM EDT,35,14.7,,393.1,255.1,141.7,10.0,23.3,15.3,2909.0,7.4,,,36.3,7.9,2.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,12.4
GodwCh00,Chris Godwin,TB,wr,@ 10:10 PM EDT,27,14.7,,,,,,,,,,,,1.9,0.5,0.0,12.0,42.5,74.1,3.9,824.0,,,,,,,,,,,,,,,,,,,,,12.36
LockTy00,Tyler Lockett,SEA,wr,@ 10:10 PM EDT,31,14.7,,,,,,,,,,,,,,,,40.9,66.8,5.3,821.7,0.0,67.0,0.0,15.5,,,,,,,,,,,,,,,,,12.33
HarrNa00,Najee Harris,PIT,rb,@ 10:10 PM EDT,25,14.3,,,,,,,,,,,,188.9,36.4,6.9,733.7,15.9,37.4,1.1,232.3,,,,,,,,,,,,,,,,,,,,,12.6
PittMi01,Michael Pittman Jr,IND,wr,@ 10:10 PM EDT,26,14.7,,,,,,,,,,,,0.7,0.1,,3.3,41.2,68.8,4.8,818.3,,,,,,,,,,,,,,,,,,,,,12.27
WatsCh00,Christian Watson,GB,wr,@ 10:10 PM EDT,24,14.3,,,,,,,,,,,,6.5,2.2,0.4,44.3,37.9,54.7,5.9,828.0,,,,,,,,,,,,,,,,,,,,,12.53
MontDa01,David Montgomery,DET,rb,@ 10:10 PM EDT,26,14.3,,,,,,,,,,,,194.7,41.3,9.5,789.3,9.4,20.7,1.1,158.3,,,,,,,,,,,,,,,,,,,,,12.44
MeyeJa00,Jakobi Meyers,LV,wr,@ 10:10 PM EDT,26,14.3,,,,,,,,,,,,3.7,1.0,0.0,23.3,39.6,68.1,5.1,765.0,,,,,,,,,,,,,,,,,,,,,12.39
ConnJa00,James Conner,ARI,rb,@ 10:10 PM EDT,28,14.3,,,,,,,,,,,,176.7,34.1,5.8,703.3,17.2,39.3,1.0,261.3,,,,,,,,,,,,,,,,,,,,,12.26
CoopAm00,Amari Cooper,CLE,wr,@ 10:10 PM EDT,29,14.7,,,,,,,,,,,,1.5,0.4,0.0,10.3,39.0,59.4,5.5,822.7,,,,,,,,,,,,,,,,,,,,,11.96
