id,name,team,pos,matchup,age,ssn-gms,pass-2pt,pass-att,pass-cmp,pass-1d,pass-int,pass-sck,pass-td,pass-yds,pass-y/att,rush-2pt,rush-2pt,rush-car,rush-1d,rush-td,rush-yds,rec-1d,rec-rec,rec-td,rec-yds,kr-td,kr-yds,pr-td,pr-yds,kck-xpa,kck-xpc,kck-xpm,kck-fga,kck-fgc,kck-fgm,tmd-2pr,tmd-blk,tmd-fmf,tmd-fmr,tmd-int,tmd-pa,tmd-sck,tmd-saf,tmd-td,tmd-ya,ppg
crdxxx99,Arizona Cardinals,ARI,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.2,613.6,0.3,227.1,,,,,,,,,15.2,8.2,11.6,424.0,35.0,0.5,2.6,6050.0,14.51
atlxxx99,Atlanta Falcons,ATL,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.2,692.5,0.2,167.9,,,,,,,,,15.7,8.7,12.2,406.5,29.0,0.5,2.9,5952.5,14.37
HiggTe00,Tee Higgins,CIN,wr,@ 10:34 PM EDT,24,16.3,,,,,,,,,,,,,,,,55.0,83.4,7.4,1157.6,,,,,,,,,,,,,,,,,,,,,14.98
ramxxx99,Los Angeles Rams,LAR,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.2,648.5,0.2,174.8,,,,,,,,,12.8,6.9,13.2,422.5,34.0,0.5,1.9,6298.0,14.23
chixxx99,Chicago Bears,CHI,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.3,737.0,0.2,154.2,,,,,,,,,15.2,8.1,11.3,419.5,33.5,0.5,2.1,6000.5,14.21
SmitDe04,DeVonta Smith,PHI,wr,@ 10:34 PM EDT,24,16.8,,,,,,,,,,,,,,,,55.5,88.9,6.7,1126.7,,,,19.0,,,,,,,,,,,,,,,,,14.86
raixxx99,Las Vegas Raiders,LV,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.2,639.7,0.3,228.6,,,,,,,,,15.4,8.4,8.5,431.0,34.8,0.5,2.7,5983.0,14.2
MixoJo00,Joe Mixon,CIN,rb,@ 10:34 PM EDT,27,15.2,,,,,,,,,,,,236.1,45.8,7.6,951.8,23.2,50.3,2.4,363.0,,,,,,,,,,,,,,,,,,,,,15.82
MetcDK00,DK Metcalf,SEA,wr,@ 10:34 PM EDT,25,15.9,,,,,,,,,,,,0.3,0.1,,1.6,52.7,83.0,8.3,1069.7,,,,,,,,,,,,,,,,,,,,,15.02
StevRh00,Rhamondre Stevenson,NE,rb,@ 10:34 PM EDT,25,15.5,,,,,,,,,,,,210.5,45.5,6.2,980.4,25.3,56.2,1.6,388.0,,,,,,,,,,,,,,,,,,,,,15.4
GibbJa00,Jahmyr Gibbs,DET,rb,@ 10:34 PM EDT,21,15.5,,,,,,,,,,,,179.9,39.6,7.0,812.6,26.9,53.0,2.7,468.5,,,,,,,,,,,,,,,,,,,,,15.36
LoveJo01,Jordan Love,GB,qb,@ 10:34 PM EDT,24,16.3,,525.6,338.9,190.1,14.9,21.9,22.3,3719.4,7.1,,,55.7,10.6,1.6,222.9,,,,,,,,,,,,,,,,,,,,,,,,,14.59
YounBr01,Bryce Young,CAR,qb,@ 10:34 PM EDT,22,16.2,,524.7,330.9,187.0,13.8,23.4,19.4,3585.8,6.8,,,72.3,15.0,2.5,313.5,,,,,,,,,,,,,,,,,,,,,,,,,14.63
HoweSa00,Sam Howell,WAS,qb,@ 10:34 PM EDT,23,15.4,,493.3,312.1,177.0,13.3,23.7,20.2,3461.0,7.0,,,64.1,14.4,2.8,289.2,,,,,,,,,,,,,,,,,,,,,,,,,15.3
PurdBr00,Brock Purdy,SF,qb,@ 10:34 PM EDT,23,15.1,,456.6,305.4,169.8,11.8,19.7,24.8,3572.4,7.8,,,46.7,4.8,1.8,72.0,,,,,,,,,,,,,,,,,,,,,,,,,15.58
AlleKe00,Keenan Allen,LAC,wr,@ 10:34 PM EDT,31,15.6,,,,,,,,,,,,0.3,0.1,,1.6,53.7,92.5,6.2,1030.1,,,,,,,,,,,,,,,,,,,,,14.87
RidlCa00,Calvin Ridley,JAX,wr,@ 10:34 PM EDT,28,15.9,,,,,,,,,,,,1.5,0.4,0.0,8.6,50.8,81.3,7.7,1020.5,,,,,,,,,,,,,,,,,,,,,14.46
StafMa00,Matthew Stafford,LAR,qb,@ 10:34 PM EDT,35,15.6,,529.0,347.7,192.6,13.5,24.3,22.7,3978.8,7.5,,,27.9,3.1,0.5,63.6,,,,,,,,,,,,,,,,,,,,,,,,,14.68
GaroJi01,Jimmy Garoppolo,LV,qb,@ 10:34 PM EDT,31,15.4,,515.7,344.2,188.2,11.3,19.9,21.2,3846.6,7.5,,,30.5,3.5,1.4,51.8,,,,,,,,,,,,,,,,,,,,,,,,,14.76
JoneAa00,Aaron Jones,GB,rb,@ 10:34 PM EDT,28,15.5,,,,,,,,,,,,186.6,41.1,4.4,915.9,24.2,51.9,3.0,377.4,,,,,,,,,,,,,,,,,,,,,14.47
CoopAm00,Amari Cooper,CLE,wr,@ 10:34 PM EDT,29,15.9,,,,,,,,,,,,0.8,0.2,0.0,5.3,50.0,76.1,7.1,1047.6,,,,,,,,,,,,,,,,,,,,,14.06
AndrMa00,Mark Andrews,BAL,te,@ 10:34 PM EDT,28,15.9,,,,,,,,,,,,0.6,0.1,,1.6,49.1,80.9,7.0,969.8,,,,,,,,,,,,,,,,,,,,,13.79
